Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,0,5,1,standard,1,married,1,1,Moderate,< 5,0.071,0.071,0.074
1,0,2,4,standard,2,married,2,1,,5 - 10,0.069,0.09,0.088
2,0,1,3,standard,1,single,2,1,Moderate,< 5,0.087,0.093,0.091
3,1,0,0,free/reduced,1,married,0,0,Few,5 - 10,0.045,0.056,0.042
4,1,2,4,standard,1,married,2,1,,5 - 10,0.076,0.078,0.075
5,0,1,0,standard,1,married,1,1,Few,5 - 10,0.073,0.084,0.079
6,0,1,4,standard,0,widowed,0,0,Few,5 - 10,0.085,0.093,0.089
7,1,1,4,free/reduced,1,married,2,1,Few,> 10,0.041,0.043,0.039
8,1,3,2,free/reduced,0,single,2,0,Moderate,> 10,0.065,0.064,0.068
9,0,1,2,free/reduced,1,married,1,1,,< 5,0.037,0.059,0.05
10,1,2,0,standard,1,,2,1,Few,5 - 10,0.058,0.054,0.052
11,1,3,0,standard,1,divorced,2,1,Few,5 - 10,0.04,0.052,0.043
12,0,1,2,standard,1,married,1,0,Few,5 - 10,0.066,0.082,0.074
13,1,0,4,standard,0,single,2,1,Few,> 10,0.08,0.073,0.071
14,0,0,3,standard,1,divorced,2,1,Few,< 5,0.048,0.053,0.058
15,0,2,5,standard,1,married,2,1,,,0.069,0.075,0.078
16,1,2,2,standard,2,married,2,1,,5 - 10,0.088,0.089,0.086
17,0,1,5,free/reduced,1,divorced,2,1,Few,5 - 10,0.018,0.032,0.028
18,1,2,3,free/reduced,0,single,2,0,Few,5 - 10,0.046,0.042,0.047
19,0,2,0,free/reduced,1,married,0,1,Moderate,< 5,0.05,0.056,0.058
20,1,3,2,standard,1,married,2,1,Moderate,5 - 10,0.066,0.069,0.063
21,0,1,4,free/reduced,0,married,2,0,Few,5 - 10,0.065,0.075,0.07
22,1,3,6,standard,1,married,0,1,Moderate,5 - 10,0.042,0.053,0.051
23,0,2,5,standard,1,divorced,0,0,Moderate,5 - 10,0.066,0.071,0.071
24,1,3,6,free/reduced,0,married,2,1,Few,5 - 10,0.074,0.071,0.08
25,1,0,3,free/reduced,1,married,1,1,Few,5 - 10,0.075,0.076,0.076
26,1,1,4,standard,1,married,2,1,Moderate,< 5,0.066,0.053,0.053
27,0,2,1,standard,1,married,2,1,Moderate,> 10,0.069,0.07,0.076
28,1,2,2,standard,1,married,2,0,Few,5 - 10,0.07,0.07,0.065
30,0,3,4,standard,1,single,2,1,,< 5,0.066,0.072,0.072
31,0,1,4,standard,1,single,2,1,Moderate,5 - 10,0.063,0.065,0.061
32,0,4,3,free/reduced,1,divorced,2,1,Few,5 - 10,0.056,0.073,0.066
33,1,5,4,standard,1,married,2,0,Few,5 - 10,0.04,0.042,0.038
34,1,4,4,standard,1,divorced,2,1,,,0.097,0.087,0.082
35,1,4,0,standard,0,single,2,0,,5 - 10,0.081,0.081,0.079
36,0,3,0,standard,1,married,1,0,Few,5 - 10,0.076,0.082,0.085
37,0,3,5,free/reduced,1,married,1,1,Few,5 - 10,0.051,0.064,0.06
38,0,3,0,free/reduced,0,married,1,0,Few,5 - 10,0.077,0.091,0.09
39,1,1,0,free/reduced,1,single,1,1,Moderate,5 - 10,0.058,0.056,0.058
40,1,2,0,free/reduced,1,married,0,1,,5 - 10,0.053,0.06,0.052
41,0,2,0,standard,1,divorced,1,0,Few,5 - 10,0.059,0.074,0.069
43,1,1,4,free/reduced,2,married,1,1,Moderate,5 - 10,0.06,0.065,0.067
44,0,4,0,free/reduced,1,married,2,1,Moderate,< 5,0.048,0.055,0.052
45,1,1,0,standard,1,single,2,1,Moderate,< 5,0.063,0.053,0.055
47,0,2,2,standard,1,married,1,1,,5 - 10,0.067,0.072,0.077
49,1,2,2,standard,0,married,2,2,Moderate,5 - 10,0.082,0.084,0.082
50,1,4,4,standard,1,married,3,0,Moderate,> 10,0.054,0.055,0.048
51,1,5,0,free/reduced,0,married,1,0,Few,< 5,0.076,0.068,0.068
52,1,2,4,standard,1,divorced,1,1,Moderate,> 10,0.056,0.045,0.043
53,1,3,2,standard,1,single,2,1,Few,5 - 10,0.088,0.078,0.075
54,0,5,5,free/reduced,0,married,1,1,,> 10,0.075,0.086,0.09
55,0,2,2,free/reduced,1,divorced,2,1,Few,5 - 10,0.033,0.041,0.043
56,0,4,0,standard,0,married,2,1,Moderate,> 10,0.084,0.086,0.087
57,1,3,0,standard,1,single,2,0,Few,5 - 10,0.052,0.055,0.049
58,1,3,6,standard,0,married,1,0,Few,> 10,0.061,0.06,0.06
59,0,2,5,free/reduced,1,single,1,1,Moderate,> 10,0.0,0.017,0.01
61,1,0,5,free/reduced,1,married,2,1,,5 - 10,0.039,0.039,0.034
62,1,0,0,free/reduced,1,married,2,1,Moderate,5 - 10,0.062,0.061,0.055
64,0,3,5,standard,1,married,2,1,,5 - 10,0.059,0.058,0.059
65,1,1,5,standard,1,married,0,1,Few,< 5,0.063,0.062,0.058
66,1,3,5,free/reduced,1,married,2,1,Moderate,5 - 10,0.045,0.037,0.037
67,0,2,4,standard,1,married,1,0,Moderate,5 - 10,0.061,0.073,0.075
68,1,1,0,free/reduced,1,divorced,1,0,Moderate,,0.062,0.058,0.057
69,0,2,0,standard,1,single,2,1,Moderate,5 - 10,0.039,0.064,0.057
71,1,3,4,standard,0,divorced,2,1,Moderate,> 10,0.064,0.055,0.064
72,0,0,0,free/reduced,1,single,1,1,Few,5 - 10,0.042,0.051,0.049
73,1,2,5,free/reduced,1,divorced,0,1,Moderate,5 - 10,0.059,0.056,0.054
74,1,2,5,standard,2,married,2,1,Few,< 5,0.047,0.048,0.04
75,1,1,0,free/reduced,1,divorced,2,0,,5 - 10,0.044,0.041,0.038
76,1,4,5,standard,1,,2,0,Moderate,5 - 10,0.028,0.025,0.021
77,1,0,6,standard,0,,1,1,,5 - 10,0.082,0.079,0.083
78,0,3,5,standard,0,divorced,2,1,Few,> 10,0.062,0.075,0.073
79,0,4,3,standard,1,divorced,0,1,Few,5 - 10,0.06,0.068,0.068
80,0,1,0,standard,1,married,1,1,,> 10,0.049,0.05,0.052
81,1,1,2,free/reduced,1,married,2,1,,,0.049,0.045,0.045
82,1,0,4,free/reduced,0,married,2,0,,5 - 10,0.05,0.047,0.054
83,1,4,0,standard,1,married,1,1,,5 - 10,0.074,0.064,0.064
84,1,3,2,free/reduced,1,married,0,2,Moderate,5 - 10,0.04,0.038,0.033
85,0,2,4,standard,1,divorced,2,1,,5 - 10,0.073,0.08,0.082
86,0,2,4,free/reduced,1,married,2,1,,< 5,0.073,0.081,0.086
87,0,3,0,standard,1,single,2,1,,5 - 10,0.071,0.071,0.074
88,0,0,4,standard,1,divorced,1,1,Moderate,< 5,0.057,0.069,0.067
89,0,3,5,standard,1,single,2,1,,> 10,0.075,0.087,0.083
91,1,2,2,free/reduced,1,divorced,1,0,Moderate,5 - 10,0.027,0.034,0.036
92,1,2,2,standard,1,divorced,2,0,Few,< 5,0.068,0.077,0.069
93,1,2,0,free/reduced,0,married,1,0,Moderate,> 10,0.045,0.046,0.052
94,0,1,4,standard,1,married,1,1,Moderate,5 - 10,0.081,0.087,0.094
96,1,1,5,standard,0,married,1,1,Moderate,5 - 10,0.063,0.065,0.061
97,0,5,4,standard,0,married,0,1,,< 5,0.059,0.069,0.066
98,0,3,4,free/reduced,1,single,1,1,Few,> 10,0.061,0.069,0.064
99,0,3,1,standard,1,married,1,1,Moderate,< 5,0.064,0.066,0.062
100,1,1,4,standard,1,married,2,0,Many,5 - 10,0.079,0.067,0.067
101,1,3,1,standard,0,single,2,0,Few,5 - 10,0.068,0.074,0.074
102,0,3,0,standard,1,married,1,1,Moderate,5 - 10,0.087,0.092,0.091
103,1,1,2,standard,0,married,1,0,Moderate,5 - 10,0.061,0.044,0.048
104,1,5,4,standard,0,married,1,1,Few,> 10,0.1,0.088,0.094
105,0,2,4,standard,1,married,2,1,,5 - 10,0.058,0.067,0.072
106,0,3,3,standard,1,married,2,0,Moderate,5 - 10,0.087,0.1,0.1
107,1,4,6,standard,0,single,2,1,,5 - 10,0.066,0.063,0.064
108,0,1,0,free/reduced,1,married,2,1,Few,5 - 10,0.052,0.076,0.07
109,0,1,5,standard,1,single,1,0,Moderate,5 - 10,0.072,0.064,0.073
110,0,3,0,free/reduced,0,single,2,1,Moderate,> 10,0.079,0.09,0.099
111,1,2,2,standard,1,single,1,0,Many,5 - 10,0.063,0.055,0.05
112,1,0,0,standard,1,married,2,1,,5 - 10,0.054,0.053,0.047
113,0,3,4,standard,1,married,0,1,Few,< 5,0.047,0.056,0.051
114,0,4,1,standard,0,married,1,1,Moderate,< 5,0.098,0.099,0.1
115,1,2,2,standard,1,married,2,1,Moderate,5 - 10,0.084,0.077,0.074
116,0,1,1,free/reduced,1,single,0,0,Few,5 - 10,0.072,0.083,0.079
117,0,3,1,standard,1,married,0,0,Few,5 - 10,0.075,0.08,0.077
118,0,3,5,standard,1,single,1,1,,> 10,0.054,0.064,0.063
119,0,2,4,standard,1,divorced,2,0,Moderate,5 - 10,0.055,0.069,0.065
120,0,2,1,standard,0,married,0,1,Few,5 - 10,0.076,0.09,0.086
121,1,1,0,standard,0,married,2,1,Moderate,< 5,0.088,0.087,0.09
122,0,2,4,standard,0,single,1,1,Few,5 - 10,0.09,0.094,0.095
123,1,3,2,free/reduced,1,married,2,0,Moderate,,0.063,0.057,0.056
124,1,4,4,standard,1,single,1,0,Moderate,< 5,0.082,0.079,0.073
125,0,1,2,standard,1,single,0,1,Few,> 10,0.086,0.094,0.085
126,1,1,6,standard,1,married,3,0,Moderate,5 - 10,0.072,0.068,0.067
127,1,3,4,standard,2,married,1,0,Moderate,< 5,0.064,0.076,0.074
128,1,3,3,standard,1,single,0,1,Few,< 5,0.077,0.081,0.072
129,0,0,1,standard,1,,1,1,,5 - 10,0.052,0.049,0.052
130,1,3,3,standard,1,single,2,0,Few,< 5,0.087,0.084,0.082
131,1,2,5,free/reduced,0,single,1,1,Few,< 5,0.052,0.036,0.04
132,1,5,4,free/reduced,0,married,1,1,Few,5 - 10,0.089,0.075,0.071
133,0,5,4,standard,0,married,0,0,Many,< 5,0.07,0.078,0.08
134,1,3,1,free/reduced,0,married,2,1,Few,> 10,0.076,0.08,0.076
135,1,2,1,standard,1,married,2,1,Few,< 5,0.056,0.054,0.047
136,1,1,5,standard,0,divorced,2,1,Few,5 - 10,0.051,0.054,0.041
137,1,4,2,standard,1,divorced,2,1,,< 5,0.067,0.054,0.054
138,0,2,0,standard,2,married,2,1,Few,5 - 10,0.059,0.066,0.067
139,1,3,4,standard,0,married,2,1,,> 10,0.073,0.061,0.07
140,0,3,5,standard,1,married,2,0,Few,5 - 10,0.076,0.072,0.071
141,0,2,4,free/reduced,1,married,1,0,Few,5 - 10,0.06,0.062,0.065
142,0,4,4,free/reduced,0,single,1,2,Few,< 5,0.041,0.054,0.054
143,1,0,2,standard,1,single,2,0,Few,5 - 10,0.057,0.043,0.047
144,1,3,4,standard,1,divorced,2,1,Moderate,> 10,0.09,0.074,0.079
145,0,2,4,free/reduced,1,single,1,1,Few,< 5,0.021,0.038,0.033
148,0,3,1,standard,0,married,2,1,Few,< 5,0.065,0.073,0.079
149,1,4,0,free/reduced,0,married,1,0,Moderate,5 - 10,0.1,0.1,0.095
150,1,0,5,standard,0,married,2,0,Few,5 - 10,0.062,0.067,0.069
152,0,1,0,standard,0,single,2,1,Few,< 5,0.057,0.068,0.064
153,1,3,1,standard,1,married,2,0,Few,5 - 10,0.054,0.049,0.047
154,1,3,5,standard,1,single,0,0,Few,< 5,0.058,0.065,0.058
155,0,2,4,standard,0,married,1,1,Moderate,< 5,0.069,0.088,0.088
156,0,4,2,free/reduced,0,married,1,1,Few,5 - 10,0.067,0.075,0.079
157,1,1,6,free/reduced,1,,2,1,Few,< 5,0.058,0.059,0.058
158,0,1,0,standard,2,divorced,1,1,Few,5 - 10,0.062,0.087,0.089
159,1,3,0,free/reduced,1,married,1,0,Moderate,> 10,0.07,0.063,0.066
160,1,1,0,free/reduced,0,single,2,1,Few,5 - 10,0.082,0.078,0.074
161,0,4,4,free/reduced,0,married,2,1,Moderate,5 - 10,0.075,0.088,0.085
162,1,1,3,free/reduced,1,single,0,0,Few,5 - 10,0.048,0.053,0.052
163,1,2,2,standard,1,divorced,2,1,Few,5 - 10,0.052,0.053,0.049
164,0,4,3,standard,1,married,0,1,Moderate,< 5,0.076,0.089,0.086
165,0,2,1,standard,0,married,2,1,,5 - 10,0.096,0.1,0.1
166,1,2,2,free/reduced,0,single,2,1,Moderate,5 - 10,0.053,0.051,0.051
167,0,1,3,free/reduced,0,married,1,0,Few,> 10,0.062,0.079,0.083
168,0,1,2,standard,0,married,1,1,Few,5 - 10,0.07,0.084,0.079
170,1,0,2,standard,0,divorced,1,1,Moderate,> 10,0.076,0.075,0.077
171,1,4,5,standard,1,married,2,0,Moderate,< 5,0.091,0.086,0.076
172,0,3,4,standard,1,single,0,1,Moderate,5 - 10,0.076,0.084,0.078
173,0,2,0,standard,1,married,2,1,Few,5 - 10,0.063,0.067,0.07
174,0,2,1,free/reduced,0,married,2,0,Few,< 5,0.041,0.05,0.052
175,0,2,3,standard,0,divorced,2,1,Few,5 - 10,0.081,0.092,0.089
176,0,1,2,free/reduced,0,married,2,0,Few,< 5,0.044,0.053,0.056
177,0,2,0,standard,0,married,1,1,,< 5,0.07,0.076,0.077
178,0,1,3,free/reduced,0,divorced,1,1,Few,5 - 10,0.054,0.072,0.065
179,0,3,5,standard,0,divorced,1,1,,5 - 10,0.099,0.1,0.1
180,1,2,3,free/reduced,0,single,2,1,Few,< 5,0.06,0.068,0.075
181,0,2,4,free/reduced,1,single,2,1,Few,5 - 10,0.046,0.064,0.066
182,0,4,2,standard,1,married,2,1,Moderate,,0.05,0.05,0.047
183,0,3,0,standard,1,single,2,0,,< 5,0.063,0.067,0.068
185,1,2,0,free/reduced,0,married,0,1,Moderate,< 5,0.061,0.065,0.062
186,1,4,2,standard,1,married,0,1,Few,< 5,0.075,0.073,0.062
187,1,3,5,standard,0,married,2,0,Moderate,5 - 10,0.062,0.066,0.068
188,1,1,5,free/reduced,1,married,1,0,Moderate,< 5,0.047,0.051,0.045
189,0,2,1,standard,1,single,2,1,Few,< 5,0.074,0.086,0.085
