Unnamed: 0,Gender,EthnicGroup,ParentEduc,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,WklyStudyHours,Average Score
0,0,5,1,1,married,1,1,Moderate,< 5,0.0072
1,0,2,4,2,married,2,1,,5 - 10,0.0082333333333333
2,0,1,3,1,single,2,1,Moderate,< 5,0.0090333333333333
3,1,0,0,1,married,0,0,Few,5 - 10,0.0047666666666666
4,1,2,4,1,married,2,1,,5 - 10,0.0076333333333333
5,0,1,0,1,married,1,1,Few,5 - 10,0.0078666666666666
6,0,1,4,0,widowed,0,0,Few,5 - 10,0.0089
7,1,1,4,1,married,2,1,Few,> 10,0.0041
8,1,3,2,0,single,2,0,Moderate,> 10,0.0065666666666666
9,0,1,2,1,married,1,1,,< 5,0.0048666666666666
10,1,2,0,1,,2,1,Few,5 - 10,0.0054666666666666
11,1,3,0,1,divorced,2,1,Few,5 - 10,0.0045
12,0,1,2,1,married,1,0,Few,5 - 10,0.0073999999999999
13,1,0,4,0,single,2,1,Few,> 10,0.0074666666666666
14,0,0,3,1,divorced,2,1,Few,< 5,0.0053
15,0,2,5,1,married,2,1,,,0.0073999999999999
16,1,2,2,2,married,2,1,,5 - 10,0.0087666666666666
17,0,1,5,1,divorced,2,1,Few,5 - 10,0.0026
18,1,2,3,0,single,2,0,Few,5 - 10,0.0045
19,0,2,0,1,married,0,1,Moderate,< 5,0.0054666666666666
20,1,3,2,1,married,2,1,Moderate,5 - 10,0.0066
21,0,1,4,0,married,2,0,Few,5 - 10,0.007
22,1,3,6,1,married,0,1,Moderate,5 - 10,0.0048666666666666
23,0,2,5,1,divorced,0,0,Moderate,5 - 10,0.0069333333333333
24,1,3,6,0,married,2,1,Few,5 - 10,0.0075
25,1,0,3,1,married,1,1,Few,5 - 10,0.0075666666666666
26,1,1,4,1,married,2,1,Moderate,< 5,0.0057333333333333
27,0,2,1,1,married,2,1,Moderate,> 10,0.0071666666666666
28,1,2,2,1,married,2,0,Few,5 - 10,0.0068333333333333
30,0,3,4,1,single,2,1,,< 5,0.007
31,0,1,4,1,single,2,1,Moderate,5 - 10,0.0063
32,0,4,3,1,divorced,2,1,Few,5 - 10,0.0065
33,1,5,4,1,married,2,0,Few,5 - 10,0.004
34,1,4,4,1,divorced,2,1,,,0.0088666666666666
35,1,4,0,0,single,2,0,,5 - 10,0.0080333333333333
36,0,3,0,1,married,1,0,Few,5 - 10,0.0081
37,0,3,5,1,married,1,1,Few,5 - 10,0.0058333333333333
38,0,3,0,0,married,1,0,Few,5 - 10,0.0086
39,1,1,0,1,single,1,1,Moderate,5 - 10,0.0057333333333333
40,1,2,0,1,married,0,1,,5 - 10,0.0055
41,0,2,0,1,divorced,1,0,Few,5 - 10,0.0067333333333333
43,1,1,4,2,married,1,1,Moderate,5 - 10,0.0064
44,0,4,0,1,married,2,1,Moderate,< 5,0.0051666666666666
45,1,1,0,1,single,2,1,Moderate,< 5,0.0057
47,0,2,2,1,married,1,1,,5 - 10,0.0072
49,1,2,2,0,married,2,2,Moderate,5 - 10,0.0082666666666666
50,1,4,4,1,married,3,0,Moderate,> 10,0.0052333333333333
51,1,5,0,0,married,1,0,Few,< 5,0.0070666666666666
52,1,2,4,1,divorced,1,1,Moderate,> 10,0.0048
53,1,3,2,1,single,2,1,Few,5 - 10,0.0080333333333333
54,0,5,5,0,married,1,1,,> 10,0.0083666666666666
55,0,2,2,1,divorced,2,1,Few,5 - 10,0.0039
56,0,4,0,0,married,2,1,Moderate,> 10,0.0085666666666666
57,1,3,0,1,single,2,0,Few,5 - 10,0.0052
58,1,3,6,0,married,1,0,Few,> 10,0.0060333333333333
59,0,2,5,1,single,1,1,Moderate,> 10,0.0009
61,1,0,5,1,married,2,1,,5 - 10,0.0037333333333333
62,1,0,0,1,married,2,1,Moderate,5 - 10,0.0059333333333333
64,0,3,5,1,married,2,1,,5 - 10,0.0058666666666666
65,1,1,5,1,married,0,1,Few,< 5,0.0060999999999999
66,1,3,5,1,married,2,1,Moderate,5 - 10,0.0039666666666666
67,0,2,4,1,married,1,0,Moderate,5 - 10,0.0069666666666666
68,1,1,0,1,divorced,1,0,Moderate,,0.0059
69,0,2,0,1,single,2,1,Moderate,5 - 10,0.0053333333333333
71,1,3,4,0,divorced,2,1,Moderate,> 10,0.0060999999999999
72,0,0,0,1,single,1,1,Few,5 - 10,0.0047333333333333
73,1,2,5,1,divorced,0,1,Moderate,5 - 10,0.0056333333333333
74,1,2,5,2,married,2,1,Few,< 5,0.0045
75,1,1,0,1,divorced,2,0,,5 - 10,0.0041
76,1,4,5,1,,2,0,Moderate,5 - 10,0.0024666666666666
77,1,0,6,0,,1,1,,5 - 10,0.0081333333333333
78,0,3,5,0,divorced,2,1,Few,> 10,0.007
79,0,4,3,1,divorced,0,1,Few,5 - 10,0.0065333333333333
80,0,1,0,1,married,1,1,,> 10,0.0050333333333333
81,1,1,2,1,married,2,1,,,0.0046333333333333
82,1,0,4,0,married,2,0,,5 - 10,0.0050333333333333
83,1,4,0,1,married,1,1,,5 - 10,0.0067333333333333
84,1,3,2,1,married,0,2,Moderate,5 - 10,0.0036999999999999
85,0,2,4,1,divorced,2,1,,5 - 10,0.0078333333333333
86,0,2,4,1,married,2,1,,< 5,0.008
87,0,3,0,1,single,2,1,,5 - 10,0.0072
88,0,0,4,1,divorced,1,1,Moderate,< 5,0.0064333333333333
89,0,3,5,1,single,2,1,,> 10,0.0081666666666666
91,1,2,2,1,divorced,1,0,Moderate,5 - 10,0.0032333333333333
92,1,2,2,1,divorced,2,0,Few,< 5,0.0071333333333333
93,1,2,0,0,married,1,0,Moderate,> 10,0.0047666666666666
94,0,1,4,1,married,1,1,Moderate,5 - 10,0.0087333333333333
96,1,1,5,0,married,1,1,Moderate,5 - 10,0.0063
97,0,5,4,0,married,0,1,,< 5,0.0064666666666666
98,0,3,4,1,single,1,1,Few,> 10,0.0064666666666666
99,0,3,1,1,married,1,1,Moderate,< 5,0.0064
100,1,1,4,1,married,2,0,Many,5 - 10,0.0070999999999999
101,1,3,1,0,single,2,0,Few,5 - 10,0.0072
102,0,3,0,1,married,1,1,Moderate,5 - 10,0.009
103,1,1,2,0,married,1,0,Moderate,5 - 10,0.0050999999999999
104,1,5,4,0,married,1,1,Few,> 10,0.0094
105,0,2,4,1,married,2,1,,5 - 10,0.0065666666666666
106,0,3,3,1,married,2,0,Moderate,5 - 10,0.0095666666666666
107,1,4,6,0,single,2,1,,5 - 10,0.0064333333333333
108,0,1,0,1,married,2,1,Few,5 - 10,0.0066
109,0,1,5,1,single,1,0,Moderate,5 - 10,0.0069666666666666
110,0,3,0,0,single,2,1,Moderate,> 10,0.0089333333333333
111,1,2,2,1,single,1,0,Many,5 - 10,0.0056
112,1,0,0,1,married,2,1,,5 - 10,0.0051333333333333
113,0,3,4,1,married,0,1,Few,< 5,0.0051333333333333
114,0,4,1,0,married,1,1,Moderate,< 5,0.0099
115,1,2,2,1,married,2,1,Moderate,5 - 10,0.0078333333333333
116,0,1,1,1,single,0,0,Few,5 - 10,0.0078
117,0,3,1,1,married,0,0,Few,5 - 10,0.0077333333333333
118,0,3,5,1,single,1,1,,> 10,0.0060333333333333
119,0,2,4,1,divorced,2,0,Moderate,5 - 10,0.0063
120,0,2,1,0,married,0,1,Few,5 - 10,0.0084
121,1,1,0,0,married,2,1,Moderate,< 5,0.0088333333333333
122,0,2,4,0,single,1,1,Few,5 - 10,0.0093
123,1,3,2,1,married,2,0,Moderate,,0.0058666666666666
124,1,4,4,1,single,1,0,Moderate,< 5,0.0078
125,0,1,2,1,single,0,1,Few,> 10,0.0088333333333333
126,1,1,6,1,married,3,0,Moderate,5 - 10,0.0069
127,1,3,4,2,married,1,0,Moderate,< 5,0.0071333333333333
128,1,3,3,1,single,0,1,Few,< 5,0.0076666666666666
129,0,0,1,1,,1,1,,5 - 10,0.0050999999999999
130,1,3,3,1,single,2,0,Few,< 5,0.0084333333333333
131,1,2,5,0,single,1,1,Few,< 5,0.0042666666666666
132,1,5,4,0,married,1,1,Few,5 - 10,0.0078333333333333
133,0,5,4,0,married,0,0,Many,< 5,0.0076
134,1,3,1,0,married,2,1,Few,> 10,0.0077333333333333
135,1,2,1,1,married,2,1,Few,< 5,0.0052333333333333
136,1,1,5,0,divorced,2,1,Few,5 - 10,0.0048666666666666
137,1,4,2,1,divorced,2,1,,< 5,0.0058333333333333
138,0,2,0,2,married,2,1,Few,5 - 10,0.0064
139,1,3,4,0,married,2,1,,> 10,0.0068
140,0,3,5,1,married,2,0,Few,5 - 10,0.0072999999999999
141,0,2,4,1,married,1,0,Few,5 - 10,0.0062333333333333
142,0,4,4,0,single,1,2,Few,< 5,0.0049666666666666
143,1,0,2,1,single,2,0,Few,5 - 10,0.0049
144,1,3,4,1,divorced,2,1,Moderate,> 10,0.0081
145,0,2,4,1,single,1,1,Few,< 5,0.0030666666666666
148,0,3,1,0,married,2,1,Few,< 5,0.0072333333333333
149,1,4,0,0,married,1,0,Moderate,5 - 10,0.0098333333333333
150,1,0,5,0,married,2,0,Few,5 - 10,0.0066
152,0,1,0,0,single,2,1,Few,< 5,0.0063
153,1,3,1,1,married,2,0,Few,5 - 10,0.005
154,1,3,5,1,single,0,0,Few,< 5,0.0060333333333333
155,0,2,4,0,married,1,1,Moderate,< 5,0.0081666666666666
156,0,4,2,0,married,1,1,Few,5 - 10,0.0073666666666666
157,1,1,6,1,,2,1,Few,< 5,0.0058333333333333
158,0,1,0,2,divorced,1,1,Few,5 - 10,0.0079333333333333
159,1,3,0,1,married,1,0,Moderate,> 10,0.0066333333333333
160,1,1,0,0,single,2,1,Few,5 - 10,0.0078
161,0,4,4,0,married,2,1,Moderate,5 - 10,0.0082666666666666
162,1,1,3,1,single,0,0,Few,5 - 10,0.0050999999999999
163,1,2,2,1,divorced,2,1,Few,5 - 10,0.0051333333333333
164,0,4,3,1,married,0,1,Moderate,< 5,0.0083666666666666
165,0,2,1,0,married,2,1,,5 - 10,0.0098666666666666
166,1,2,2,0,single,2,1,Moderate,5 - 10,0.0051666666666666
167,0,1,3,0,married,1,0,Few,> 10,0.0074666666666666
168,0,1,2,0,married,1,1,Few,5 - 10,0.0077666666666666
170,1,0,2,0,divorced,1,1,Moderate,> 10,0.0076
171,1,4,5,1,married,2,0,Moderate,< 5,0.0084333333333333
172,0,3,4,1,single,0,1,Moderate,5 - 10,0.0079333333333333
173,0,2,0,1,married,2,1,Few,5 - 10,0.0066666666666666
174,0,2,1,0,married,2,0,Few,< 5,0.0047666666666666
175,0,2,3,0,divorced,2,1,Few,5 - 10,0.0087333333333333
176,0,1,2,0,married,2,0,Few,< 5,0.0050999999999999
177,0,2,0,0,married,1,1,,< 5,0.0074333333333333
178,0,1,3,0,divorced,1,1,Few,5 - 10,0.0063666666666666
179,0,3,5,0,divorced,1,1,,5 - 10,0.0099666666666666
180,1,2,3,0,single,2,1,Few,< 5,0.0067666666666666
181,0,2,4,1,single,2,1,Few,5 - 10,0.0058666666666666
182,0,4,2,1,married,2,1,Moderate,,0.0049
183,0,3,0,1,single,2,0,,< 5,0.0066
185,1,2,0,0,married,0,1,Moderate,< 5,0.0062666666666666
